province,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Suphan Buri,55.71932073,56.03973086,56.36014098,58.37872477,60.36526754,63.28099968,66.1646908,68.2153156,73.11759052,73.69432874,75.68087152,81.48029478,83.5950016,86.44665171,91.0285165,89.10605575,88.65748158
Surat Thani,51.87439923,52.13072733,52.41909644,54.56584428,56.74463313,61.23037488,65.68407562,68.05511054,73.21371355,73.02146748,76.28965075,81.83274591,84.58827299,87.4399231,89.81095803,89.10605575,90.7721884
Surin,41.52515219,42.00576738,42.51842358,43.25536687,43.99231016,47.51682153,51.00929189,54.34155719,58.09035566,58.89138097,62.70426145,66.48510093,67.25408523,70.23389939,74.23902595,73.24575457,74.27106697
Nong Khai,42.00576738,42.39025953,42.77475168,44.37680231,45.94681192,49.05479013,52.16276834,55.14258251,60.07689843,60.23710349,64.24223005,67.86286447,70.42614547,72.73309837,75.07209228,73.40595963,75.58474848
Nong Bua Lam Phu,42.00576738,42.55046459,43.09516181,44.66517142,46.23518103,49.31111823,52.35501442,55.97564883,60.55751362,60.68567767,64.6267222,67.7026594,70.49022749,73.0855495,75.20025633,75.10413329,76.6741429
Ang Thong,54.11727011,55.30278757,56.45626402,58.50688882,60.5254726,63.98590195,67.4463313,68.27939763,74.23902595,74.27106697,77.89170138,81.41621275,84.04357578,84.81256008,85.42133931,85.86991349,86.76706184
Amnat Charoen,41.87760333,42.06984941,42.29413649,44.18455623,46.07497597,48.95866709,51.84235822,54.95033643,60.42934957,60.90996475,64.56264018,68.79205383,70.10573534,72.86126242,74.46331304,74.81576418,76.70618392
Udon Thani,41.26882409,42.39025953,43.54373598,44.95354053,46.36334508,49.47132329,52.54726049,54.27747517,59.62832426,59.88465236,63.98590195,67.38224928,69.33675104,72.44472925,75.29637937,74.1108619,76.00128164
Uttaradit,43.67190003,44.47292534,45.27395066,46.71579622,48.12560077,51.00929189,53.89298302,55.94360782,61.35853893,60.20506248,63.72957385,67.47837232,70.39410445,71.73982698,75.1361743,74.14290292,75.58474848
Uthai Thani,42.61454662,43.28740788,43.96026914,45.40211471,46.84396027,50.33643063,53.86094201,55.97564883,59.53220122,60.2691445,63.15283563,67.12592118,69.240628,73.14963153,73.79045178,73.11759052,74.8798462
Ubon Ratchathani,41.94168536,41.97372637,42.00576738,43.54373598,45.04966357,48.06151874,51.07337392,53.95706504,59.91669337,59.50016021,63.50528677,65.71611663,68.7279718,70.93880167,73.66228773,74.43127203,75.61678949
