Position,Track Name,Artist,Streams,ADMIN
2,Me Rehúso,Danny Ocean,515618,Mexico
3,Una Lady Como Tú,Manuel Turizo,460284,Mexico
4,Escápate Conmigo,Wisin,368030,Mexico
5,Ahora Dice,Chris Jeday,317609,Mexico
6,Hey DJ,CNCO,311488,Mexico
7,Mi Gente,J Balvin,274860,Mexico
8,Bonita,J Balvin,273324,Mexico
9,Shape of You,Ed Sheeran,263134,Mexico
10,Despacito - Remix,Luis Fonsi,255554,Mexico
1,Mi Gente,J Balvin,10882,Panama
2,Felices los 4,Maluma,9622,Panama
3,Escápate Conmigo,Wisin,8773,Panama
4,Me Rehúso,Danny Ocean,8748,Panama
5,Ahora Dice,Chris Jeday,8178,Panama
6,Báilame,Nacho,7349,Panama
7,Tu Foto,Ozuna,6583,Panama
8,Hey DJ,CNCO,6372,Panama
9,Shape of You,Ed Sheeran,6278,Panama
10,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,5873,Panama
1,Felices los 4,Maluma,13204,Uruguay
2,Me Rehúso,Danny Ocean,11511,Uruguay
3,Hey DJ,CNCO,10782,Uruguay
4,Ahora Dice,Chris Jeday,9894,Uruguay
5,Escápate Conmigo,Wisin,9723,Uruguay
6,Despacito - Remix,Luis Fonsi,8738,Uruguay
7,Tu Foto,Ozuna,8629,Uruguay
8,Shape of You,Ed Sheeran,8321,Uruguay
9,Bonita,J Balvin,8046,Uruguay
10,Báilame,Nacho,7538,Uruguay
1,Despacito - Remix,Luis Fonsi,10980,Iceland
2,Joey Cypher,Joey Christ,8299,Iceland
3,Wild Thoughts,DJ Khaled,6345,Iceland
4,I'm the One,DJ Khaled,5324,Iceland
5,2U (feat. Justin Bieber),David Guetta,5107,Iceland
6,Fullir Vasar,Aron Can,4364,Iceland
7,Unforgettable,French Montana,4325,Iceland
8,HUMBLE.,Kendrick Lamar,4265,Iceland
9,Ár Eftir Ár,Herra Hnetusmjör,3980,Iceland
10,Shape of You,Ed Sheeran,3927,Iceland
1,Felices los 4,Maluma,305868,Spain
2,Me Rehúso,Danny Ocean,284216,Spain
3,Mala Mujer,C. Tangana,253929,Spain
4,Hey DJ,CNCO,219156,Spain
5,Me Enamoré,Shakira,206904,Spain
6,Despacito - Remix,Luis Fonsi,192238,Spain
7,Despacito (Featuring Daddy Yankee),Luis Fonsi,187702,Spain
8,Mi Gente,J Balvin,181694,Spain
9,Ahora Dice,Chris Jeday,177376,Spain
10,Shape of You,Ed Sheeran,177363,Spain
1,Thunder,Imagine Dragons,12446,Czech Republic
2,Despacito - Remix,Luis Fonsi,10991,Czech Republic
3,2U (feat. Justin Bieber),David Guetta,9725,Czech Republic
4,Believer,Imagine Dragons,9510,Czech Republic
5,Shape of You,Ed Sheeran,9311,Czech Republic
6,More Than You Know,Axwell /\ Ingrosso,9227,Czech Republic
7,There for You,Martin Garrix,8448,Czech Republic
8,I'm the One,DJ Khaled,8343,Czech Republic
9,Mama,Jonas Blue,8078,Czech Republic
10,There's Nothing Holdin' Me Back,Shawn Mendes,7454,Czech Republic
1,Despacito - Remix,Luis Fonsi,61531,Ireland
2,Wild Thoughts,DJ Khaled,43164,Ireland
3,Unforgettable,French Montana,41902,Ireland
4,Mama,Jonas Blue,38887,Ireland
5,I'm the One,DJ Khaled,36505,Ireland
6,Strip That Down,Liam Payne,36468,Ireland
7,Feels,Calvin Harris,35211,Ireland
8,2U (feat. Justin Bieber),David Guetta,34162,Ireland
9,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,34027,Ireland
10,There's Nothing Holdin' Me Back,Shawn Mendes,32396,Ireland
1,Krantenwijk,Lil' Kleine,314501,Netherlands
2,Loterij,Lil' Kleine,296846,Netherlands
3,Come Again,Ronnie Flex,226832,Netherlands
4,Way It Goes,SFB,200906,Netherlands
5,Cartier,Dopebwoy,195681,Netherlands
6,2U (feat. Justin Bieber),David Guetta,194764,Netherlands
7,Wild Thoughts,DJ Khaled,186744,Netherlands
8,Despacito - Remix,Luis Fonsi,182681,Netherlands
9,Engeltje,Jebroer,174594,Netherlands
10,I'm the One,DJ Khaled,167704,Netherlands
1,Thunder,Imagine Dragons,4246,Slovakia
2,2U (feat. Justin Bieber),David Guetta,3714,Slovakia
3,More Than You Know,Axwell /\ Ingrosso,3384,Slovakia
4,Despacito - Remix,Luis Fonsi,3358,Slovakia
5,There for You,Martin Garrix,3173,Slovakia
6,Wild Thoughts,DJ Khaled,3116,Slovakia
7,Believer,Imagine Dragons,2970,Slovakia
8,Mama,Jonas Blue,2924,Slovakia
9,I'm the One,DJ Khaled,2886,Slovakia
10,There's Nothing Holdin' Me Back,Shawn Mendes,2716,Slovakia
1,Mi Gente,J Balvin,86569,Colombia
2,Me Rehúso,Danny Ocean,56928,Colombia
3,Una Lady Como Tú,Manuel Turizo,52902,Colombia
4,Felices los 4,Maluma,51741,Colombia
5,Bonita,J Balvin,47478,Colombia
6,Escápate Conmigo,Wisin,44465,Colombia
7,Ahora Dice,Chris Jeday,42469,Colombia
8,Shape of You,Ed Sheeran,42004,Colombia
9,Besándote,Piso 21,36014,Colombia
10,Sigo Extrañándote,J Balvin,35665,Colombia
1,Despacito - Remix,Luis Fonsi,56886,Singapore
2,2U (feat. Justin Bieber),David Guetta,37622,Singapore
3,Attention,Charlie Puth,35774,Singapore
4,Shape of You,Ed Sheeran,32083,Singapore
5,I'm the One,DJ Khaled,31424,Singapore
6,There for You,Martin Garrix,30083,Singapore
7,Something Just Like This,The Chainsmokers,29743,Singapore
8,As If It's Your Last,BLACKPINK,29488,Singapore
9,Strip That Down,Liam Payne,27424,Singapore
10,Mama,Jonas Blue,27038,Singapore
1,Despacito - Remix,Luis Fonsi,98973,Indonesia
2,2U (feat. Justin Bieber),David Guetta,65373,Indonesia
3,I'm the One,DJ Khaled,59736,Indonesia
4,Attention,Charlie Puth,56791,Indonesia
5,There for You,Martin Garrix,53040,Indonesia
6,Mama,Jonas Blue,46519,Indonesia
7,Shape of You,Ed Sheeran,46395,Indonesia
8,Feels,Calvin Harris,44533,Indonesia
9,Symphony (feat. Zara Larsson),Clean Bandit,44434,Indonesia
10,Something Just Like This,The Chainsmokers,44297,Indonesia
1,Felices los 4,Maluma,11095,Dominican Republic
2,Escápate Conmigo,Wisin,10201,Dominican Republic
3,Ahora Dice,Chris Jeday,10006,Dominican Republic
4,Mi Gente,J Balvin,9432,Dominican Republic
5,Me Rehúso,Danny Ocean,9429,Dominican Republic
6,Tu Foto,Ozuna,7604,Dominican Republic
7,Me Mata,Bad Bunny,6112,Dominican Republic
8,Shape of You,Ed Sheeran,6077,Dominican Republic
9,La Última Vez,Anuel Aa,5965,Dominican Republic
10,Bebe (feat. Anuel AA),Ozuna,5945,Dominican Republic
1,Despacito - Remix,Luis Fonsi,2351,Luxembourg
2,Wild Thoughts,DJ Khaled,2218,Luxembourg
3,2U (feat. Justin Bieber),David Guetta,1959,Luxembourg
4,I'm the One,DJ Khaled,1837,Luxembourg
5,Unforgettable,French Montana,1760,Luxembourg
6,Thunder,Imagine Dragons,1645,Luxembourg
7,Shape of You,Ed Sheeran,1589,Luxembourg
