name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Brand New Trendy Apt In The Mission,Mission,37.75958899,-122.4218546,Entire home/apt,250,1,0,,,1,0
Calming oasis with views - NEW!,Mission,37.7532297,-122.4248993,Entire home/apt,300,7,0,,,3,0
Modern master bedroom & garden deck,Mission,37.75121152,-122.4077631,Private room,151,1,0,,,1,365
"Mission Dolores - Big Private Room, Best Location",Mission,37.76277859,-122.4240051,Private room,119,2,6,2/20/17,0.84,1,0
"Large, beautiful room in the Mission",Mission,37.7501035,-122.414981,Private room,76,1,3,8/9/16,0.37,1,0
Everest House,Mission,37.75136488,-122.4089685,Shared room,100,1,0,,,1,0
Inner Mission Apartment with Garage Parking,Mission,37.76070044,-122.4076222,Entire home/apt,98,30,1,2/18/17,0.68,1,183
Huge Private Bedroom in the Mission,Mission,37.75374293,-122.4034303,Private room,65,3,0,,,1,0
Elegant courtyard professional loft,Mission,37.76443752,-122.4074289,Entire home/apt,175,4,23,1/24/17,1.36,1,331
Centrally Located Mission Room,Mission,37.76724432,-122.4212892,Private room,79,3,68,3/13/17,1.81,4,96
Private Room on Valencia St. Private Bath - Weekly,Mission,37.76151096,-122.4220454,Private room,80,7,0,,,2,174
Charming room in the Mission! 2 blocks from BART!,Mission,37.76490477,-122.4239036,Private room,75,2,1,1/10/17,0.36,4,0
Spacious room in Mission District,Mission,37.75023463,-122.4149721,Private room,52,7,2,3/12/17,0.25,1,0
‰÷_ Victorian Suite in Inner Mission,Mission,37.75874295,-122.413272,Entire home/apt,250,3,248,3/5/17,2.7,1,354
Amazing Mission Apt for Super Bowl,Mission,37.7615991,-122.4216489,Entire home/apt,1000,1,0,,,1,0
"Sunny, Airy + Creative Bedroom in the Mission!",Mission,37.76539394,-122.4183993,Private room,95,1,6,10/4/16,0.83,1,51
Classy & Comfy Apt in the ‰ª´•ü_ of SF!,Mission,37.77142456,-122.4234505,Entire home/apt,1000,1,0,,,1,0
"Unique Artistic Victorian, Mission",Mission,37.75967033,-122.4147865,Entire home/apt,325,3,6,4/29/16,0.41,1,91
Modern urban oasis with 360 city views,Mission,37.76207429,-122.4063294,Entire home/apt,650,4,3,4/1/17,1.05,1,32
Bohemian Rhapsody in the Mission,Mission,37.75756728,-122.4193947,Private room,65,3,66,3/26/17,0.96,5,263
Sunny Private Room In Top Floor Edwardian,Mission,37.76847404,-122.4251584,Private room,125,1,1,3/26/17,1,4,85
Spacious Three bedroom w/ formal dining/LR/Kitchen,Mission,37.75975848,-122.4071105,Entire home/apt,325,1,17,2/14/17,1.23,2,196
Private Victorian,Mission,37.75986511,-122.41754,Private room,75,2,1,2/19/17,0.7,3,32
Cute Victorian Home,Mission,37.75862522,-122.4196387,Private room,78,2,1,3/4/17,1,3,0
Quiet Victorian near Market Street,Mission,37.77109003,-122.4240191,Entire home/apt,399,2,64,3/3/17,1.25,2,167
"Victorian top floor flat, Mission",Mission,37.75708418,-122.4080119,Entire home/apt,207,5,6,10/2/15,0.12,1,199
2bd Beautiful Updated Gem in Mission Dolores,Mission,37.7615023,-122.4211684,Entire home/apt,320,2,7,1/13/17,0.87,1,146
Private 1BR in Mission Victorian,Mission,37.76456493,-122.4138323,Private room,101,1,167,2/25/17,4.33,6,317
PRIVATE SUNNY LOVELY BEDROOM/BATH,Mission,37.76317552,-122.4070776,Private room,99,3,90,1/20/17,1.52,1,146
Gorgeous SF condo with views,Mission,37.75570083,-122.4232314,Entire home/apt,300,3,12,1/2/17,0.63,1,12
Mission Apartment  near Valencia,Mission,37.7487178,-122.4199096,Entire home/apt,202,8,61,11/28/16,1.43,1,305
Cozy room in Best Mission Location!,Mission,37.75608406,-122.4225961,Private room,71,2,11,3/3/17,1.31,1,21
Large Sunny 1 Bed in the Mission,Mission,37.76174179,-122.4175331,Entire home/apt,107,3,5,3/30/16,0.32,1,0
