Position,Track Name,Artist,Streams,ADMIN
4,Mi Gente,J Balvin,3820,Slovakia
5,Fetish (feat. Gucci Mane),Selena Gomez,3474,Slovakia
6,2U (feat. Justin Bieber),David Guetta,3419,Slovakia
7,Feels,Calvin Harris,3210,Slovakia
8,Wild Thoughts,DJ Khaled,3111,Slovakia
9,There for You,Martin Garrix,2927,Slovakia
10,There's Nothing Holdin' Me Back,Shawn Mendes,2845,Slovakia
1,Robarte un Beso,Carlos Vives,68503,Colombia
2,Mi Gente,J Balvin,67539,Colombia
3,Me Rehúso,Danny Ocean,49459,Colombia
4,Bonita,J Balvin,45986,Colombia
5,Una Lady Como Tú,Manuel Turizo,43446,Colombia
6,Escápate Conmigo,Wisin,40439,Colombia
7,Besame,Valentino,40432,Colombia
8,Felices los 4,Maluma,39951,Colombia
9,Ahora Dice,Chris Jeday,37388,Colombia
10,Shape of You,Ed Sheeran,36574,Colombia
1,Despacito - Remix,Luis Fonsi,48397,Singapore
2,Attention,Charlie Puth,39446,Singapore
3,2U (feat. Justin Bieber),David Guetta,38513,Singapore
4,Mama,Jonas Blue,34933,Singapore
5,Shape of You,Ed Sheeran,33178,Singapore
6,Strip That Down,Liam Payne,32365,Singapore
7,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,31650,Singapore
8,Something Just Like This,The Chainsmokers,30399,Singapore
9,I'm the One,DJ Khaled,30066,Singapore
10,New Rules,Dua Lipa,29724,Singapore
1,Despacito - Remix,Luis Fonsi,78081,Indonesia
2,2U (feat. Justin Bieber),David Guetta,72594,Indonesia
3,Attention,Charlie Puth,70518,Indonesia
4,Mama,Jonas Blue,66099,Indonesia
5,Feels,Calvin Harris,63798,Indonesia
6,I'm the One,DJ Khaled,63417,Indonesia
7,Strip That Down,Liam Payne,58857,Indonesia
8,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,58224,Indonesia
9,There for You,Martin Garrix,57595,Indonesia
10,Thunder,Imagine Dragons,49592,Indonesia
1,Mi Gente,J Balvin,13046,Dominican Republic
2,El Farsante,Ozuna,11654,Dominican Republic
3,Imitadora,Romeo Santos,9549,Dominican Republic
4,Escápate Conmigo,Wisin,8716,Dominican Republic
5,Me Rehúso,Danny Ocean,8277,Dominican Republic
6,Ahora Dice,Chris Jeday,8237,Dominican Republic
7,Bebe (feat. Anuel AA),Ozuna,7713,Dominican Republic
8,Felices los 4,Maluma,7561,Dominican Republic
9,Tu No Metes Cabra,Bad Bunny,7120,Dominican Republic
10,Tu Foto,Ozuna,6364,Dominican Republic
1,Mi Gente,J Balvin,2202,Luxembourg
2,Unforgettable,French Montana,1861,Luxembourg
3,Wild Thoughts,DJ Khaled,1630,Luxembourg
4,2U (feat. Justin Bieber),David Guetta,1566,Luxembourg
5,Mama,Jonas Blue,1531,Luxembourg
6,More Than You Know,Axwell /\ Ingrosso,1467,Luxembourg
7,Despacito - Remix,Luis Fonsi,1412,Luxembourg
8,Shape of You,Ed Sheeran,1349,Luxembourg
9,Feels,Calvin Harris,1276,Luxembourg
10,Thunder,Imagine Dragons,1261,Luxembourg
1,Wild Thoughts,DJ Khaled,428327,United Kingdom
2,Unforgettable,French Montana,422757,United Kingdom
3,Despacito - Remix,Luis Fonsi,414962,United Kingdom
4,Feels,Calvin Harris,341601,United Kingdom
5,Mama,Jonas Blue,325077,United Kingdom
6,New Rules,Dua Lipa,305581,United Kingdom
7,Came Here for Love,Sigala,278419,United Kingdom
8,I'm the One,DJ Khaled,276356,United Kingdom
9,2U (feat. Justin Bieber),David Guetta,267644,United Kingdom
10,Strip That Down,Liam Payne,266354,United Kingdom
