Position,Track,Artist,Streams,ADMIN
10,Cold Water (feat. Justin Bieber & MØ),Major Lazer,15624,Malaysia
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,50956,Denmark
2,Ked Af Det,Gulddreng,50360,Denmark
3,KranAlarm,Jesu Brødre,45434,Denmark
4,Helwa,Gilli,44174,Denmark
5,Starboy,The Weeknd,43664,Denmark
6,Call On Me - Ryan Riback Extended Remix,Starley,43582,Denmark
7,Say You Won't Let Go,James Arthur,42353,Denmark
8,I Feel It Coming,The Weeknd,34601,Denmark
9,Pakker Bar,NODE,33180,Denmark
10,Black Beatles,Rae Sremmurd,32893,Denmark
1,Reggaetón Lento (Bailemos),CNCO,6784,Bolivia
2,Otra Vez (feat. J Balvin),Zion & Lennox,5748,Bolivia
3,Chantaje,Shakira,5506,Bolivia
4,Vente Pa' Ca,Ricky Martin,4804,Bolivia
5,Traicionera,Sebastian Yatra,4780,Bolivia
6,Safari,J Balvin,4399,Bolivia
7,Let Me Love You,DJ Snake,3542,Bolivia
8,La Bicicleta,Carlos Vives,3507,Bolivia
9,Ay Mi Dios,IAmChino,3446,Bolivia
10,Me Llamas (feat. Maluma) - Remix,Piso 21,2979,Bolivia
1,Let Me Love You,DJ Snake,26290,Poland
2,Starboy,The Weeknd,25198,Poland
3,Closer,The Chainsmokers,24642,Poland
4,Tuesday,Burak Yeter,24630,Poland
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,23163,Poland
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,18841,Poland
7,Treat You Better,Shawn Mendes,18486,Poland
8,One Dance,Drake,18249,Poland
9,Don't Wanna Know,Maroon 5,18122,Poland
10,Heathens,Twenty One Pilots,17823,Poland
1,Alone,Alan Walker,12990,Austria
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,12897,Austria
3,Chöre,Mark Forster,10852,Austria
4,Bad Ideas,Alle Farben,10837,Austria
5,Closer,The Chainsmokers,10317,Austria
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,9551,Austria
7,Starboy,The Weeknd,9165,Austria
8,Call On Me - Ryan Riback Extended Remix,Starley,9146,Austria
9,Say You Won't Let Go,James Arthur,8756,Austria
10,Shed a Light,Robin Schulz,8726,Austria
1,Starboy,The Weeknd,15397,Portugal
2,Let Me Love You,DJ Snake,10469,Portugal
3,24K Magic,Bruno Mars,10196,Portugal
4,One Dance,Drake,10105,Portugal
5,Closer,The Chainsmokers,10080,Portugal
6,Say You Won't Let Go,James Arthur,9463,Portugal
7,Loucos,Matias Damásio,9235,Portugal
8,Chantaje,Shakira,9161,Portugal
9,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,9135,Portugal
10,I Feel It Coming,The Weeknd,9060,Portugal
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,129472,Sweden
2,Alone,Alan Walker,121710,Sweden
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,116338,Sweden
4,Call On Me - Ryan Riback Extended Remix,Starley,113275,Sweden
5,Say You Won't Let Go,James Arthur,105816,Sweden
6,Solo Dance,Martin Jensen,95637,Sweden
7,I Feel It Coming,The Weeknd,95027,Sweden
8,Starboy,The Weeknd,91674,Sweden
9,Let Me Love You,DJ Snake,84260,Sweden
